Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein HOY82DRAFT_104143 [Tuber indicum],Tuber indicum,848,848,100%,0.0,90.15,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG0136069.1?report=genbank&log$=prottop&blast_rank=1&RID=3AEZDCWK016"",""KAG0136069.1"")"
hypothetical protein HOY80DRAFT_1033135 [Tuber brumale],Tuber brumale,810,810,100%,0.0,86.78,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG0643449.1?report=genbank&log$=prottop&blast_rank=2&RID=3AEZDCWK016"",""KAG0643449.1"")"
hypothetical protein B9Z19DRAFT_1113343 [Tuber borchii],Tuber borchii,758,758,100%,0.0,80.08,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PUU81588.1?report=genbank&log$=prottop&blast_rank=3&RID=3AEZDCWK016"",""PUU81588.1"")"
dihydrolipoamide succinyltransferase [Tuber magnatum],Tuber magnatum,743,743,100%,0.0,81.41,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PWW80546.1?report=genbank&log$=prottop&blast_rank=4&RID=3AEZDCWK016"",""PWW80546.1"")"
unnamed protein product [Tuber aestivum],Tuber aestivum,685,685,100%,0.0,75.97,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CUS11232.1?report=genbank&log$=prottop&blast_rank=5&RID=3AEZDCWK016"",""CUS11232.1"")"



		


